KMSP,large_airport,Minneapolis-Saint Paul International Airport / Wold-Chamberlain Field,44.882,-93.221802,NA,US
KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,NA,US
KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,NA,US
KONT,large_airport,Ontario International Airport,34.05599976,-117.6009979,NA,US
KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,NA,US
KPBI,large_airport,Palm Beach International Airport,26.68320084,-80.09559631,NA,US
KPDX,large_airport,Portland International Airport,45.58869934,-122.5979996,NA,US
KPHL,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,NA,US
KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,NA,US
KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,NA,US
KPVD,large_airport,Theodore Francis Green State Airport,41.725038,-71.425668,NA,US
KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,NA,US
KRDU,large_airport,Raleigh Durham International Airport,35.87760162,-78.78749847,NA,US
KRIC,large_airport,Richmond International Airport,37.50519943,-77.31970215,NA,US
KRNO,large_airport,Reno Tahoe International Airport,39.49909973,-119.7679977,NA,US
KRSW,large_airport,Southwest Florida International Airport,26.53619957,-81.75520325,NA,US
KSAN,large_airport,San Diego International Airport,32.73360062,-117.1900024,NA,US
KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,NA,US
KSAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,NA,US
KSDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,NA,US
KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,NA,US
KSFB,large_airport,Orlando Sanford International Airport,28.77759933,-81.23750305,NA,US
KSFO,large_airport,San Francisco International Airport,37.61899948,-122.375,NA,US
KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,NA,US
KSLC,large_airport,Salt Lake City International Airport,40.785749,-111.979746,NA,US
KSMF,large_airport,Sacramento International Airport,38.69540024,-121.5910034,NA,US
KSNA,large_airport,John Wayne Airport-Orange County Airport,33.675701,-117.867996,NA,US
KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,NA,US
KSYR,large_airport,Syracuse Hancock International Airport,43.11119843,-76.10630035,NA,US
KTPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,NA,US
KTUL,large_airport,Tulsa International Airport,36.19839859,-95.88809967,NA,US
LATI,large_airport,Tirana International Airport Mother Teresa,41.41469955,19.72060013,EU,AL
LBBG,large_airport,Burgas Airport,42.56959915,27.51519966,EU,BG
LBSF,large_airport,Sofia Airport,42.69669342,23.41143608,EU,BG
LBWN,large_airport,Varna Airport,43.232101,27.8251,EU,BG
LCLK,large_airport,Larnaca International Airport,34.875099,33.624901,AS,CY
LDZA,large_airport,Zagreb Airport,45.74290085,16.06879997,EU,HR
LEAL,large_airport,Alicante-Elche Miguel Herncndez Airport,38.2822,-0.558156,EU,ES
LEBL,large_airport,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,EU,ES
LEIB,large_airport,Ibiza Airport,38.872898,1.37312,EU,ES
LEMD,large_airport,Adolfo Sucrez Madrid-Barajas Airport,40.471926,-3.56264,EU,ES
LEMG,large_airport,Mclaga-Costa del Sol Airport,36.6749,-4.49911,EU,ES
LEPA,large_airport,Palma de Mallorca Airport,39.551701,2.73881,EU,ES
LEST,large_airport,Santiago-Rosall�a de Castro Airport,42.896301,-8.41514,EU,ES
LFBD,large_airport,Bordeaux-Merignac Airport,44.8283,-0.715556,EU,FR
LFBO,large_airport,Toulouse-Blagnac Airport,43.629101,1.36382,EU,FR
LFLL,large_airport,Lyon Saint-Exupery Airport,45.725556,5.081111,EU,FR
LFML,large_airport,Marseille Provence Airport,43.43927192,5.221424103,EU,FR
LFMN,large_airport,Nice-Cote d'Azur Airport,43.65840149,7.215869904,EU,FR
LFPG,large_airport,Charles de Gaulle International Airport,49.012798,2.55,EU,FR
LFPO,large_airport,Paris-Orly Airport,48.7233333,2.3794444,EU,FR
LFSB,large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.529167,EU,FR
LGAV,large_airport,Athens Eleftherios Venizelos International Airport,37.936401,23.9445,EU,GR
LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,35.33969879,25.18029976,EU,GR
LGTS,large_airport,Thessaloniki Macedonia International Airport,40.5196991,22.97089958,EU,GR
LHBP,large_airport,Budapest Liszt Ferenc International Airport,47.42976,19.261093,EU,HU
LIBD,large_airport,Bari Karol Wojtyla Airport,41.138901,16.760599,EU,IT
LIBR,large_airport,Brindisi Airport,40.6576,17.947001,EU,IT
LICC,large_airport,Catania-Fontanarossa Airport,37.466801,15.0664,EU,IT
LICJ,large_airport,Falcone-Borsellino Airport,38.175999,13.091,EU,IT
LIEE,large_airport,Cagliari Elmas Airport,39.251499,9.05428,EU,IT
LIMC,large_airport,Malpensa International Airport,45.6306,8.72811,EU,IT
LIME,large_airport,Milan Bergamo Airport,45.673901,9.70417,EU,IT
LIMF,large_airport,Turin Airport,45.200802,7.64963,EU,IT
LIPE,large_airport,Bologna Guglielmo Marconi Airport,44.5354,11.2887,EU,IT
LIPX,large_airport,Verona-Villafranca Valerio Catullo Airport,45.394955,10.887303,EU,IT
LIPZ,large_airport,Venice Marco Polo Airport,45.505299,12.3519,EU,IT
LIRF,large_airport,Rome-Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,EU,IT
LIRN,large_airport,Naples International Airport,40.886002,14.2908,EU,IT
LIRP,large_airport,Pisa International Airport,43.683899,10.3927,EU,IT
LJLJ,large_airport,Ljubljana Jose Puc�nik Airport,46.223701,14.4576,EU,SI
LKPR,large_airport,Vcclav Havel Airport Prague,50.1008,14.26,EU,CZ
LLBG,large_airport,Ben Gurion International Airport,32.01139832,34.88669968,AS,IL
LLER,large_airport,Ramon International Airport,29.727009,35.014116,AS,IL
LMML,large_airport,Malta International Airport,35.857498,14.4775,EU,MT
